,Particulars,2015,2016,Particulars,,,2015,2016
0,To Opening Stock,105400.0,95830.0,By Sale,,,234294.0,274200.0
1,To Purchase,151007.0,168940.0,By Job Work Income,,,550000.0,636478.0
2,To Gross Profit,623717.0,759868.0,By Closing Stock,,,95830.0,113960.0
3,,880124.0,1024638.0,,,Total Rs.,880124.0,1024638.0
4,To  Accounting Charges,15000.0,20000.0,By Gross Profit B/D,,,623717.0,759868.0
5,To Business Promotion Exp.,7640.0,8610.0,By Discount,,,32905.0,45460.0
6,To Depreciation,8452.5,7277.78,,,,,
7,To Electricity Exp.,23410.0,25630.0,,,,,
8,To Freight,10350.0,16480.0,,,,,
9,To Bonus,6340.0,8640.0,,,,,
10,To Internet Fex Charges,6310.0,7660.0,,,,,
11,To Misc. Exp,14470.0,23790.0,,,,,
12,To Printing & Stationary,2670.0,3280.0,,,,,
13,To Rent,104400.0,124500.0,,,,,
14,To Repair & Maintenance Exp.,12988.0,24970.0,,,,,
15,To Salary,404000.0,473888.0,,,,,
16,To Staff welfare Exp.,17490.0,19340.0,,,,,
17,To Short & Excess,62.0,52.22,,,,,
18,To Telephone Exp,8680.0,10460.0,,,,,
19,To Conveyance Exp.,10670.0,14280.0,,,,,
20,To Net Profit for the Year,3689.5,16470.0,,,,,
21,,,,,,,,
22,Total Rs.,656622.0,805328.0,,,Total Rs.,656622.0,805328.0
